Machine Type,Power Rating (kW),Utilization Rate (%),Production Volume,Batch Size,Shift Timing,Ambient Temperature (°C),Production Time (min),Energy Consumption (kWh)
Molding,35.984171698994565,74.67011978605217,1322,340,Day,25.729855036668656,561.020604125654,248.42885712581972
Packaging,39.86987090050377,62.15047174739352,4631,128,Day,24.144492105033287,152.8478120108569,75.72299317728567
Packaging,32.506671226253324,97.51489674047586,2364,108,Day,22.65495695298947,118.79963837464076,65.22961160772799
Assembly,13.332103324471856,45.32849156889667,1633,166,Night,30.003674338148304,200.71612830237385,22.58471477833016
Molding,20.907851365610657,71.14994911992585,4893,298,Night,30.210448912961866,735.8115211191421,187.26565992226173
Molding,22.52775283348412,79.01470104931559,891,97,Day,22.272591225986112,187.61442381755356,55.40396829481192
Molding,24.377484174952553,87.78951425417671,3256,262,Evening,26.70410675818831,398.7134956580706,145.2348369714825
Packaging,32.61613567802017,58.4879721299605,1152,308,Day,23.188580849368176,246.63517082044552,83.68050318253411
Assembly,30.15863119301574,78.08453353602371,2184,73,Day,23.56746921366373,87.2581328611442,44.69058299355676
Packaging,18.12640153456836,51.224102996899795,2654,424,Evening,22.1852292894738,449.39492927039356,73.64059163000763
Molding,15.242632485872978,60.48332646532742,3703,285,Day,19.744131238549908,531.1422960762123,83.18346500562919
Packaging,16.857288178988725,92.69389918423795,1781,246,Day,25.052605258997453,234.03579160027337,60.09657346046737
Packaging,49.37525250474413,96.4935326531668,2407,406,Night,24.129559274121863,480.47615683570643,384.00363222153794
Molding,34.490253589990665,80.31721428490853,3822,82,Day,23.390047827914604,165.99047512207437,81.46029516091716
Molding,53.6325842257014,56.20463235433295,3426,375,Evening,31.328851145951827,745.789055733082,369.71159404126263
Molding,52.74011840010448,87.40404529822649,2136,224,Night,26.74196276214048,338.64387478016295,262.093310820388
Molding,36.55293875821794,31.810695720779414,3257,102,Night,26.730091199858894,159.4596313468139,39.800753631548595
Assembly,38.26750833842174,37.192213737759474,3825,222,Night,33.459752619482614,241.7610779582766,54.9324167411773
Assembly,17.71008041650849,76.29616154627527,2781,260,Day,27.380453909767773,356.34551041708824,77.58533052596879
Molding,45.0430418364916,50.38740026890402,2064,362,Night,35.24485682282251,617.7643510824078,230.84920688193773
Assembly,20.89538317053158,96.59703528803344,2559,262,Night,23.303983688241242,378.14961478728264,124.17333106303492
Molding,51.93898064419924,60.524242846461334,521,247,Night,25.144130045175306,404.0505431033136,214.1052350529941
Molding,16.018758389227674,60.05553742724239,1058,345,Night,30.200707689637312,837.6302392268753,134.76355364352935
Molding,49.110656298493325,77.46556571336518,2146,52,Day,14.655077622833286,107.36494951672157,61.09164482289813
Assembly,13.997476262744781,83.72979936143327,694,98,Evening,26.05629788192182,119.77531271417348,24.792633939377335
Packaging,45.24756947577236,63.28911166875955,2317,63,Night,37.86041078927095,69.80680928121085,39.782972384962626
Molding,26.601816870480178,44.98006311982069,1448,430,Night,20.230304537699677,820.5958391988614,156.95621881545708
Assembly,36.17573459322299,84.1316049907935,2929,453,Night,32.17628176563083,642.9454337403405,315.48900378033153
Assembly,29.500091144811194,52.42458924115393,327,255,Night,24.446783924015488,311.9420334473095,85.13591012990345
Molding,29.58255097259227,42.25775385057003,104,243,Day,39.007244759711774,470.2109460499451,92.02672806582208
Assembly,35.81767332733986,74.21481329475093,251,330,Evening,21.268237317957013,369.4239824581123,173.1306782283908
Molding,57.48110306645942,36.33175668932453,2368,309,Day,21.460836671547728,679.5205894391833,233.10302239582634
